"","struct_idx","frequency","path_id","sequence_id","wavevector_x","wavevector_y","eig_idx"
"374348",10,1645,1,1,-2.42403157438506,3.14159265358979,5
"374349",10,1645,1,2,-2.43585359047003,3.078760800518,5
"374350",10,1645,1,3,-2.4482895104854,3.0159289474462,5
"374351",10,1645,1,4,-2.46137334475967,2.95309709437441,5
"374352",10,1645,1,5,-2.47513765131403,2.89026524130261,5
"374353",10,1645,1,6,-2.48960911642497,2.82743338823081,5
"374354",10,1645,1,7,-2.50480382004213,2.76460153515902,5
"374355",10,1645,1,8,-2.51327412287183,2.7313843304746,5
"374356",10,1645,1,9,-2.52069369899607,2.70176968208722,5
"374357",10,1645,1,10,-2.53739703840611,2.63893782901543,5
"374358",10,1645,1,11,-2.55500875087434,2.57610597594363,5
"374359",10,1645,1,12,-2.57353053036866,2.51327412287183,5
"374360",10,1645,1,13,-2.59294267538621,2.45044226980004,5
"374361",10,1645,1,14,-2.61320208127281,2.38761041672824,5
"374362",10,1645,1,15,-2.63424316859209,2.32477856365645,5
"374363",10,1645,1,16,-2.63893782901543,2.31113362864863,5
"374364",10,1645,1,17,-2.66230137613576,2.26194671058465,5
"374365",10,1645,1,18,-2.69402459402665,2.19911485751286,5
"374366",10,1645,1,19,-2.72798344507483,2.13628300444106,5
"374367",10,1645,1,20,-2.76448171730204,2.07345115136926,5
"374368",10,1645,1,21,-2.76460153515902,2.07325050519672,5
"374369",10,1645,1,22,-2.84538162225466,2.01061929829747,5
"374370",10,1645,1,23,-2.89026524130261,1.98002003992327,5
"374371",10,1645,1,24,-3.0159289474462,1.97634897907958,5
"374372",10,1645,1,25,-3.11391213212709,2.01061929829747,5
"374373",10,1645,1,26,-3.14159265358979,2.01945810572236,5
"374374",10,1645,2,1,2.42403157438506,3.14159265358979,5
"374375",10,1645,2,2,2.41279254249303,3.078760800518,5
"374376",10,1645,2,3,2.40211385496,3.0159289474462,5
"374377",10,1645,2,4,2.39198773819406,2.95309709437441,5
"374378",10,1645,2,5,2.38761041672824,2.92328382942154,5
"374379",10,1645,2,6,2.38128230662514,2.89026524130261,5
"374380",10,1645,2,7,2.370571302241,2.82743338823081,5
"374381",10,1645,2,8,2.36103624525479,2.76460153515902,5
"374382",10,1645,2,9,2.35293946419331,2.70176968208722,5
"374383",10,1645,2,10,2.34671722189355,2.63893782901543,5
"374384",10,1645,2,11,2.34310750431378,2.57610597594363,5
"374385",10,1645,2,12,2.34341372988374,2.51327412287183,5
"374386",10,1645,2,13,2.35010339838266,2.45044226980004,5
"374387",10,1645,2,14,2.3683625453563,2.38761041672824,5
"374388",10,1645,2,15,2.38761041672824,2.35433260614059,5
"374389",10,1645,2,16,2.41163145676873,2.32477856365645,5
"374390",10,1645,2,17,2.51327412287183,2.27012212261451,5
"374391",10,1645,2,18,2.53396058151602,2.26194671058465,5
"374392",10,1645,2,19,2.63893782901543,2.23475770643465,5
"374393",10,1645,2,20,2.75313985975446,2.19911485751286,5
"374394",10,1645,2,21,2.76460153515902,2.19632626457242,5
"374395",10,1645,2,22,2.89026524130261,2.14481190126564,5
"374396",10,1645,2,23,2.90704238197966,2.13628300444106,5
"374397",10,1645,2,24,3.0159289474462,2.08190979392945,5
"374398",10,1645,2,25,3.0336579395543,2.07345115136926,5
"374399",10,1645,2,26,3.14159265358979,2.01945810572242,5
"374400",10,1650,1,1,-2.45290450299835,3.14159265358979,5
"374401",10,1650,1,2,-2.46370319786908,3.078760800518,5
"374402",10,1650,1,3,-2.47529282607173,3.0159289474462,5
"374403",10,1650,1,4,-2.48767519287158,2.95309709437441,5
"374404",10,1650,1,5,-2.50085697597264,2.89026524130261,5
"374405",10,1650,1,6,-2.51327412287183,2.83460360033104,5
"374406",10,1650,1,7,-2.5148230834628,2.82743338823081,5
"374407",10,1650,1,8,-2.52948805010546,2.76460153515902,5
"374408",10,1650,1,9,-2.54508832571669,2.70176968208722,5
"374409",10,1650,1,10,-2.56164774067929,2.63893782901543,5
"374410",10,1650,1,11,-2.57917727481406,2.57610597594363,5
"374411",10,1650,1,12,-2.5976716004834,2.51327412287183,5
"374412",10,1650,1,13,-2.61710619786526,2.45044226980004,5
"374413",10,1650,1,14,-2.63743597463591,2.38761041672824,5
"374414",10,1650,1,15,-2.63893782901543,2.38313059645905,5
"374415",10,1650,1,16,-2.66540852978331,2.32477856365645,5
"374416",10,1650,1,17,-2.69592408195055,2.26194671058465,5
"374417",10,1650,1,18,-2.72867030986059,2.19911485751286,5
"374418",10,1650,1,19,-2.76389510961804,2.13628300444106,5
"374419",10,1650,1,20,-2.76460153515902,2.1350670601642,5
"374420",10,1650,1,21,-2.83799625120424,2.07345115136926,5
"374421",10,1650,1,22,-2.89026524130261,2.03485637174548,5
"374422",10,1650,1,23,-3.0159289474462,2.02541934894473,5
"374423",10,1650,1,24,-3.14159265358979,2.0643305519766,5
"374424",10,1650,2,1,2.45290450299835,3.14159265358979,5
"374425",10,1650,2,2,2.44290682127259,3.078760800518,5
"374426",10,1650,2,3,2.43374082043632,3.0159289474462,5
"374427",10,1650,2,4,2.42546949513352,2.95309709437441,5
"374428",10,1650,2,5,2.41820515794185,2.89026524130261,5
"374429",10,1650,2,6,2.41213553934529,2.82743338823081,5
"374430",10,1650,2,7,2.40756605451846,2.76460153515902,5
"374431",10,1650,2,8,2.40499190751145,2.70176968208722,5
"374432",10,1650,2,9,2.40522838578672,2.63893782901543,5
"374433",10,1650,2,10,2.40966321188252,2.57610597594363,5
"374434",10,1650,2,11,2.42079015699154,2.51327412287183,5
"374435",10,1650,2,12,2.44347567812564,2.45044226980004,5
"374436",10,1650,2,13,2.48848746958821,2.38761041672824,5
"374437",10,1650,2,14,2.51327412287183,2.36663179750603,5
"374438",10,1650,2,15,2.57451472135357,2.32477856365645,5
"374439",10,1650,2,16,2.63893782901543,2.29716203617091,5
"374440",10,1650,2,17,2.71716994606826,2.26194671058465,5
"374441",10,1650,2,18,2.76460153515902,2.24540294131579,5
"374442",10,1650,2,19,2.86420266410427,2.19911485751286,5
"374443",10,1650,2,20,2.89026524130261,2.18838153698183,5
"374444",10,1650,2,21,2.99274794539459,2.13628300444106,5
"374445",10,1650,2,22,3.0159289474462,2.12470742118135,5
"374446",10,1650,2,23,3.12336013354056,2.07345115136926,5
"374447",10,1650,2,24,3.14159265358979,2.06433055197664,5
"374448",10,1655,1,1,-2.48177743161163,3.14159265358979,5
"374449",10,1655,1,2,-2.49155280526812,3.078760800518,5
"374450",10,1655,1,3,-2.50229614165805,3.0159289474462,5
"374451",10,1655,1,4,-2.51327412287183,2.95697272790299,5
"374452",10,1655,1,5,-2.51396367111032,2.95309709437441,5
"374453",10,1655,1,6,-2.52635830845879,2.89026524130261,5
"374454",10,1655,1,7,-2.53972897618969,2.82743338823081,5
"374455",10,1655,1,8,-2.55409737053562,2.76460153515902,5
"374456",10,1655,1,9,-2.56948295243731,2.70176968208722,5
"374457",10,1655,1,10,-2.58589844295247,2.63893782901543,5
"374458",10,1655,1,11,-2.60334579875378,2.57610597594363,5
"374459",10,1655,1,12,-2.62181267059814,2.51327412287183,5
"374460",10,1655,1,13,-2.63893782901543,2.45796639174402,5
"374461",10,1655,1,14,-2.64198608238845,2.45044226980004,5
"374462",10,1655,1,15,-2.66906726526245,2.38761041672824,5
"374463",10,1655,1,16,-2.69820034108441,2.32477856365645,5
"374464",10,1655,1,17,-2.72954678776534,2.26194671058465,5
"374465",10,1655,1,18,-2.76331602569454,2.19911485751286,5
"374466",10,1655,1,19,-2.76460153515902,2.19682346393805,5
"374467",10,1655,1,20,-2.8312972592892,2.13628300444106,5
"374468",10,1655,1,21,-2.89026524130261,2.08920794111022,5
"374469",10,1655,1,22,-3.0159289474462,2.07431215164562,5
"374470",10,1655,1,23,-3.14159265358979,2.1097615964683,5
"374471",10,1655,2,1,2.48177743161164,3.14159265358979,5
"374472",10,1655,2,2,2.47302110005215,3.078760800518,5
"374473",10,1655,2,3,2.46536778591264,3.0159289474462,5
"374474",10,1655,2,4,2.45895125207298,2.95309709437441,5
"374475",10,1655,2,5,2.45397984201283,2.89026524130261,5
"374476",10,1655,2,6,2.45077482250656,2.82743338823081,5
"374477",10,1655,2,7,2.4498326637477,2.76460153515902,5
"374478",10,1655,2,8,2.4519314589194,2.70176968208722,5
"374479",10,1655,2,9,2.45832348923339,2.63893782901543,5
"374480",10,1655,2,10,2.47110865640699,2.57610597594363,5
"374481",10,1655,2,11,2.49402493183303,2.51327412287183,5
"374482",10,1655,2,12,2.51327412287183,2.47988113491877,5
"374483",10,1655,2,13,2.53279872900871,2.45044226980004,5
"374484",10,1655,2,14,2.59846282731643,2.38761041672824,5
"374485",10,1655,2,15,2.63893782901543,2.36247457530537,5
"374486",10,1655,2,16,2.70182825548855,2.32477856365645,5
"374487",10,1655,2,17,2.76460153515902,2.29591735361479,5
"374488",10,1655,2,18,2.82898726841883,2.26194671058465,5
"374489",10,1655,2,19,2.89026524130261,2.23330145891488,5
"374490",10,1655,2,20,2.95576498414744,2.19911485751286,5
"374491",10,1655,2,21,3.0159289474462,2.16852246450185,5
"374492",10,1655,2,22,3.08583125828113,2.13628300444106,5
