"","iElectron","t","ix","iy","iz"
"539",139,1.151388e-11,119,28,34
"540",139,1.152386e-11,119,29,32
"541",138,1.153167e-11,42,240,39
"542",138,1.153498e-11,43,239,40
"543",135,1.153691e-11,88,116,30
"544",138,1.157318e-11,42,239,40
"545",138,1.159952e-11,41,237,40
"546",138,1.164121e-11,42,238,39
"547",138,1.165256e-11,42,237,40
"548",132,1.166478e-11,133,131,1
"549",132,1.16818e-11,132,131,2
"550",132,1.171871e-11,129,132,2
"551",129,1.172245e-11,100,147,91
"552",138,1.182978e-11,40,240,42
"553",138,1.185709e-11,38,239,42
"554",138,1.187578e-11,36,238,43
"555",131,1.193197e-11,103,18,40
"556",138,1.193523e-11,34,237,41
"557",138,1.19399e-11,36,236,42
"558",139,1.195915e-11,119,29,33
"559",132,1.198565e-11,130,132,3
"560",138,1.200189e-11,34,237,43
"561",138,1.204137e-11,35,240,43
"562",138,1.205129e-11,37,240,43
"563",138,1.218036e-11,37,240,44
"564",138,1.225408e-11,38,242,44
"565",138,1.228617e-11,37,241,46
"566",132,1.232434e-11,130,132,4
"567",138,1.235906e-11,39,240,46
"568",136,1.238546e-11,98,92,22
"569",138,1.242197e-11,39,241,45
"570",138,1.242705e-11,40,241,45
"571",138,1.244948e-11,42,242,45
"572",138,1.250973e-11,42,242,47
"573",138,1.263231e-11,45,243,47
"574",132,1.264373e-11,130,133,3
"575",132,1.270768e-11,130,134,2
"576",129,1.271686e-11,99,147,91
"577",132,1.281812e-11,132,133,2
"578",138,1.283523e-11,46,245,49
"579",138,1.293195e-11,46,245,51
"580",139,1.293655e-11,117,32,34
"581",132,1.297369e-11,132,130,2
"582",132,1.297399e-11,131,131,2
"583",132,1.299122e-11,132,130,1
"584",132,1.301948e-11,131,130,0
"585",132,1.304251e-11,134,131,3
"586",138,1.320071e-11,46,245,52
"587",129,1.325287e-11,100,146,91
"588",141,1.325908e-11,59,88,21
"589",130,1.335958e-11,240,112,13
"590",136,1.337156e-11,98,91,22
"591",138,1.339799e-11,44,244,52
"592",142,1.342021e-11,169,190,24
"593",131,1.347077e-11,104,18,43
"594",131,1.350391e-11,103,21,41
"595",138,1.35515e-11,43,241,53
"596",138,1.355213e-11,44,242,52
"597",138,1.366128e-11,42,239,52
"598",138,1.367334e-11,40,239,52
"599",138,1.367841e-11,41,238,54
"600",138,1.374929e-11,42,240,55
"601",136,1.381681e-11,98,90,22
"602",138,1.382189e-11,44,241,57
"603",139,1.384276e-11,118,31,36
"604",139,1.390426e-11,118,30,37
"605",132,1.393383e-11,134,130,4
"606",138,1.396984e-11,43,240,61
"607",132,1.401049e-11,134,129,4
"608",138,1.403821e-11,42,241,61
"609",138,1.404194e-11,40,242,61
"610",138,1.408172e-11,39,241,60
"611",132,1.408426e-11,133,131,5
"612",131,1.408541e-11,103,22,44
