C11,C12,C13,C22,C23,C33
0.015267979,0.015235897,2.48E-14,0.01525864,2.37E-14,0.014898375
0.017902975,0.017858569,2.97E-14,0.017902975,2.80E-14,0.017373796
0.020480366,0.020405875,3.31E-14,0.020463502,3.20E-14,0.019821536
0.023155686,0.023059964,3.63E-14,0.023155686,3.65E-14,0.022286875
0.025759777,0.025615879,4.02E-14,0.025733235,4.03E-14,0.024723846
0.028476826,0.028300027,4.43E-14,0.028476826,4.47E-14,0.027179077
0.031110671,0.03086328,4.90E-14,0.031072282,4.88E-14,0.029605348
0.033870951,0.033576022,5.22E-14,0.033870951,5.23E-14,0.032050466
0.036537637,0.0361453,5.71E-14,0.036485214,5.70E-14,0.034466117
0.03934276,0.038885067,6.05E-14,0.03934276,5.92E-14,0.036901134
0.04204541,0.041459009,6.36E-14,0.041976744,6.40E-14,0.039306246
0.044897106,0.044224131,6.69E-14,0.044897106,6.60E-14,0.041731186
0.050539016,0.049590031,7.53E-14,0.050539016,7.36E-14,0.046540737
0.053323167,0.052169013,7.98E-14,0.053215267,7.94E-14,0.048925014
0.056273701,0.054979425,8.25E-14,0.056273701,8.08E-14,0.051329906
0.059103506,0.057558678,8.74E-14,0.058972548,8.44E-14,0.053703882
0.062106563,0.060388805,9.34E-14,0.062106563,9.05E-14,0.056098814
0.064985382,0.062966758,9.43E-14,0.064829021,9.41E-14,0.058462565
0.06804321,0.065814496,9.92E-14,0.06804321,9.79E-14,0.060847582
0.074089461,0.071252644,1.05E-13,0.074089461,1.08E-13,0.065576333
0.07707669,0.073823049,1.10E-13,0.076862325,1.08E-13,0.067919856
0.080251355,0.076699216,1.14E-13,0.080251355,1.14E-13,0.07028519
0.083298142,0.079263256,1.17E-13,0.083051088,1.16E-13,0.072618706
0.086535156,0.08214999,1.20E-13,0.086535156,1.19E-13,0.074974274
0.09294736,0.087600558,1.24E-13,0.09294736,1.24E-13,0.079643708
0.096124409,0.09014638,1.32E-13,0.095804369,1.29E-13,0.08195742
0.0994947,0.093046316,1.35E-13,0.0994947,1.31E-13,0.084293614
0.102742632,0.095580162,1.38E-13,0.102382202,1.36E-13,0.086597526
0.106184146,0.09848247,1.40E-13,0.106184146,1.41E-13,0.088924111
0.113022909,0.103904031,1.47E-13,0.113022909,1.45E-13,0.093535319
0.116424569,0.10640788,1.52E-13,0.115975329,1.47E-13,0.095819831
0.120018438,0.109305819,1.55E-13,0.120018438,1.51E-13,0.098127359
0.127178419,0.11468247,1.59E-13,0.127178419,1.60E-13,0.102700347
0.130750354,0.11714787,1.65E-13,0.130201294,1.61E-13,0.104965717
0.134510768,0.120028438,1.68E-13,0.134510768,1.68E-13,0.107254403
0.13817426,0.122471303,1.70E-13,0.137571052,1.69E-13,0.109510298
0.145783052,0.127756062,1.74E-13,0.145122821,1.76E-13,0.114036123
0.149725325,0.130605298,1.77E-13,0.149725325,1.75E-13,0.11630618
0.153585148,0.132996227,1.83E-13,0.152864981,1.80E-13,0.118543306
0.161589148,0.138185738,1.86E-13,0.160806105,1.91E-13,0.123031955
0.165729629,0.140988841,1.90E-13,0.165729629,1.91E-13,0.125283586
0.174049824,0.146092707,1.98E-13,0.174049824,1.95E-13,0.129744662
0.178238086,0.148388026,2.00E-13,0.177320369,2.01E-13,0.131954058
0.182594023,0.151129583,2.08E-13,0.182594023,1.99E-13,0.134187445
0.19137136,0.156093145,2.08E-13,0.19137136,2.03E-13,0.138612025
0.195801682,0.158312762,2.16E-13,0.194737292,2.11E-13,0.140803179
0.204949403,0.163155339,2.18E-13,0.203807163,2.18E-13,0.14520059
0.20966244,0.165775249,2.21E-13,0.20966244,2.20E-13,0.147406919
0.219194828,0.17048155,2.28E-13,0.219194828,2.28E-13,0.151777422
0.224023148,0.172570312,2.31E-13,0.222716217,2.29E-13,0.153941583
0.233967816,0.17713108,2.40E-13,0.23257409,2.32E-13,0.158285415
0.239080042,0.179595687,2.35E-13,0.239080042,2.33E-13,0.160465164
0.249451438,0.183992918,2.42E-13,0.249451438,2.42E-13,0.164782766
0.25471902,0.18593255,2.45E-13,0.253143015,2.45E-13,0.166920659
0.265543696,0.190163908,2.54E-13,0.26387234,2.51E-13,0.17121261
0.276679466,0.194277023,2.58E-13,0.274910078,2.57E-13,0.175487932
0.282389078,0.196491436,2.61E-13,0.282389078,2.61E-13,0.177633973
0.294004563,0.200415011,2.64E-13,0.294004563,2.64E-13,0.181885283
0.305951293,0.204213242,2.71E-13,0.305951293,2.69E-13,0.18612134
0.312034444,0.205878367,2.75E-13,0.309956255,2.69E-13,0.18821938
0.324492785,0.209493689,2.78E-13,0.322307391,2.74E-13,0.192433942
0.337297912,0.212982231,2.81E-13,0.335003583,2.78E-13,0.196635254
0.350454391,0.21634474,2.88E-13,0.348049701,2.88E-13,0.200824279
0.357175924,0.218139696,2.90E-13,0.357175924,2.89E-13,0.20292905
0.370863875,0.221308893,2.91E-13,0.370863875,2.91E-13,0.20710164
0.384908972,0.224357854,2.94E-13,0.384908972,2.96E-13,0.211264665
0.399310697,0.227290458,3.00E-13,0.399310697,3.00E-13,0.215419287
0.414066712,0.230111408,3.10E-13,0.414066712,3.09E-13,0.219566684
0.429172715,0.232826198,3.09E-13,0.429172715,3.09E-13,0.223708024
0.444622313,0.235441055,3.15E-13,0.444622313,3.14E-13,0.227844442
0.460406923,0.237962877,3.19E-13,0.460406923,3.16E-13,0.231977014
0.476515688,0.24039916,3.21E-13,0.476515688,3.21E-13,0.236106737
0.492935429,0.242757914,3.26E-13,0.492935429,3.31E-13,0.240234495
0.518110756,0.246069782,3.30E-13,0.514525924,3.28E-13,0.246408795
0.535235152,0.248274377,3.35E-13,0.531560552,3.32E-13,0.250534455
0.552606081,0.250431199,3.42E-13,0.548847244,3.41E-13,0.254660038
0.57907539,0.253692259,3.39E-13,0.57907539,3.44E-13,0.260864241
0.596955898,0.255769791,3.51E-13,0.596955898,3.45E-13,0.264989729
0.6240576,0.258759062,3.57E-13,0.620027962,3.47E-13,0.271159863
0.642271827,0.260808769,3.58E-13,0.638193388,3.57E-13,0.275281442
0.669733459,0.263999087,3.57E-13,0.669733459,3.61E-13,0.281473697
0.697253824,0.267000111,3.68E-13,0.693080102,3.64E-13,0.287618228
0.724728635,0.270280363,3.69E-13,0.724728635,3.70E-13,0.293775927
0.752024334,0.273370408,3.76E-13,0.747836417,3.72E-13,0.299866751
0.761069738,0.274594226,3.71E-13,0.761069738,3.76E-13,0.30191244
0.770069058,0.275550691,3.75E-13,0.765894904,3.76E-13,0.303916044
0.779036564,0.276796707,3.77E-13,0.779036564,3.73E-13,0.305951026
0.787948105,0.27776207,3.83E-13,0.783796965,3.73E-13,0.307942214
0.796819922,0.279030449,3.81E-13,0.796819922,3.80E-13,0.309964325
0.805625873,0.280004503,3.81E-13,0.801506936,3.83E-13,0.311940811
0.814384351,0.281294736,3.83E-13,0.814384351,3.83E-13,0.313947671
