"","C11","C12","C22","C16","C26","C66","norm_density","Label"
"316",0.2221965,0.10929304,0.2221965,0,0,0.03513483,0.6,"B"
"317",0.22853392,0.11664328,0.22853392,0,0,0.03669602,0.666666666666667,"B"
"318",0.2279314,0.11594081,0.2279314,0,0,0.03610623,0.6,"B"
"319",0.22210488,0.10930396,0.22210488,0,0,0.03500279,0.6,"B"
"320",0.22014102,0.10626039,0.22014102,0,0,0.03495484,0.533333333333333,"C"
"321",0.55474191,0.42863631,0.55474191,0,0,0.51974701,0.866666666666667,"A"
"322",0.51347128,0.38209542,0.51347128,0,0,0.41403673,0.8,"A"
"323",0.45017741,0.34218165,0.45017741,0,0,0.3556919,0.8,"A"
"324",0.40998363,0.30938162,0.40998363,0,0,0.24997777,0.733333333333333,"B"
"325",0.49883931,0.38450744,0.49883931,0,0,0.48317072,0.8,"A"
"326",0.44102266,0.33917501,0.44102266,0,0,0.38856452,0.733333333333333,"B"
"327",0.37593516,0.25706345,0.37593516,0,0,0.20671349,0.733333333333333,"B"
"328",0.37199823,0.25180199,0.37199823,0,0,0.20528517,0.666666666666667,"B"
"329",0.45995969,0.34010442,0.45995969,0,0,0.40926383,0.8,"A"
"330",0.42704657,0.28159525,0.42704657,0,0,0.23813911,0.733333333333333,"B"
"331",0.30920154,0.21841581,0.30920154,0,0,0.2735934,0.733333333333333,"B"
"332",0.23154269,0.131189,0.23154269,0,0,0.14015611,0.666666666666667,"B"
"333",0.36429439,0.28291882,0.36429439,0,0,0.35502082,0.733333333333333,"B"
