Geometry,C11,C12,C22,C16,C26,C66,
000111100101011,0.11797957,0.10695153,0.11797957,0.00000000,0.00000000,0.06723107,
000111100101100,0.15654931,0.16782701,0.15654931,0.00000000,0.00000000,0.21317257,
000111100101101,0.14819995,0.15858705,0.14819995,0.00000000,0.00000000,0.13313664,
000111100101110,0.11411250,0.10285380,0.11411250,0.00000000,0.00000000,0.05347411,
000111100101111,0.11233814,0.09959159,0.11233814,0.00000000,0.00000000,0.05023493,
000111100110000,0.14655967,0.18578987,0.14655967,0.00000000,0.00000000,0.26711332,
000111100110001,0.13986019,0.17533589,0.13986019,0.00000000,0.00000000,0.26277329,
000111100110010,0.12295871,0.14418643,0.12295871,0.00000000,0.00000000,0.20618613,
000111100110011,0.11637319,0.13638818,0.11637319,0.00000000,0.00000000,0.16447556,
000111100110100,0.14283506,0.17920347,0.14283506,0.00000000,0.00000000,0.21653859,
000111100110101,0.12784628,0.15441470,0.12784628,0.00000000,0.00000000,0.20557024,
000111100110110,0.08067823,0.06434315,0.08067823,0.00000000,0.00000000,0.01006065,
000111100110111,0.07731883,0.05816227,0.07731883,0.00000000,0.00000000,0.01000535,
000111100111000,0.08281308,0.07017602,0.08281308,0.00000000,0.00000000,0.00844028,
000111100111001,0.08239960,0.06939530,0.08239960,0.00000000,0.00000000,0.00813765,
000111100111010,0.07676222,0.05978363,0.07676222,0.00000000,0.00000000,0.00751102,
000111100111011,0.07376664,0.05403366,0.07376664,0.00000000,0.00000000,0.00330269,
000111100111100,0.07929657,0.06496144,0.07929657,0.00000000,0.00000000,0.00792727,
000111100111101,0.07877692,0.06396255,0.07877692,0.00000000,0.00000000,0.00606301,
000111100111110,0.07360485,0.05408311,0.07360485,0.00000000,0.00000000,0.00340995,
000111100111111,0.07164971,0.05022289,0.07164971,0.00000000,0.00000000,0.00299402,
000111101000000,0.15664810,0.19485099,0.15664810,0.00000000,0.00000000,0.26941457,
000111101000001,0.14917453,0.17972492,0.14917453,0.00000000,0.00000000,0.22274545,
000111101000010,0.13694268,0.15792649,0.13694268,0.00000000,0.00000000,0.19012717,
000111101000011,0.12953042,0.14467775,0.12953042,0.00000000,0.00000000,0.10488520,
000111101000100,0.14808633,0.18506706,0.14808633,0.00000000,0.00000000,0.26169340,
000111101000101,0.13404027,0.15773003,0.13404027,0.00000000,0.00000000,0.21147880,
000111101000110,0.10831710,0.10741838,0.10831710,0.00000000,0.00000000,0.06510481,
000111101000111,0.10655673,0.10392465,0.10655673,0.00000000,0.00000000,0.06297645,
000111101001000,0.12228750,0.15222414,0.12228750,0.00000000,0.00000000,0.20384473,
000111101001001,0.11343365,0.13483911,0.11343365,0.00000000,0.00000000,0.10300454,
000111101001010,0.07629998,0.09955504,0.07629998,0.00000000,0.00000000,0.13145347,
000111101001011,0.03130045,0.03964165,0.03130045,0.00000000,0.00000000,0.00261120,
000111101001100,0.09858368,0.12825740,0.09858368,0.00000000,0.00000000,0.17426939,
000111101001101,0.08788221,0.10733210,0.08788221,0.00000000,0.00000000,0.05688331,
000111101001110,0.03068806,0.04098425,0.03068806,0.00000000,0.00000000,0.00587608,
000111101001111,0.02743774,0.03858581,0.02743774,0.00000000,0.00000000,0.00252429,
000111101010000,0.11648036,0.17954958,0.11648036,0.00000000,0.00000000,0.23874575,
000111101010001,0.11018819,0.16748933,0.11018819,0.00000000,0.00000000,0.20269090,
000111101010010,0.09408313,0.14086746,0.09408313,0.00000000,0.00000000,0.16181842,
000111101010011,0.08610962,0.12566663,0.08610962,0.00000000,0.00000000,0.07599565,
000111101010100,0.09577735,0.18456024,0.09577735,0.00000000,0.00000000,0.21944208,
000111101010101,0.08491027,0.16252476,0.08491027,0.00000000,0.00000000,0.19405171,
000111101010110,0.04268639,0.07688106,0.04268639,0.00000000,0.00000000,0.00836646,
000111101010111,0.03937375,0.07017109,0.03937375,0.00000000,0.00000000,0.00750687,
000111101011000,0.05278397,0.05531977,0.05278397,0.00000000,0.00000000,0.05617198,
000111101011001,0.05135571,0.05446274,0.05135571,0.00000000,0.00000000,0.04384346,
000111101011010,0.03730328,0.06360111,0.03730328,0.00000000,0.00000000,0.04877766,
000111101011011,0.02374771,0.03966542,0.02374771,0.00000000,0.00000000,0.00259606,
000111101011100,0.02688078,0.04708637,0.02688078,0.00000000,0.00000000,0.01631567,
000111101011101,0.02653593,0.04644700,0.02653593,0.00000000,0.00000000,0.00950350,
000111101011110,0.02283783,0.03944674,0.02283783,0.00000000,0.00000000,0.00364771,
000111101011111,0.02119320,0.03680043,0.02119320,0.00000000,0.00000000,0.00230000,
000111101100000,0.15013552,0.19584915,0.15013552,0.00000000,0.00000000,0.25086657,
000111101100001,0.14299968,0.18161102,0.14299968,0.00000000,0.00000000,0.21830795,
000111101100010,0.13089017,0.16069647,0.13089017,0.00000000,0.00000000,0.18280090,
000111101100011,0.12310178,0.14806153,0.12310178,0.00000000,0.00000000,0.10063231,
000111101100100,0.13926577,0.19146544,0.13926577,0.00000000,0.00000000,0.24547569,
